,video_id,commenter_channel_url,commenter_channel_id,commenter_channel_display_name,comment_id,comment_like_count,comment_publish_date,text,commenter_rating,comment_parent_id,collection_date,reply_count
0,2SglFUPQVnM,http://www.youtube.com/channel/UCjMi6XwYMwtuRWLQwSimPJA,UCjMi6XwYMwtuRWLQwSimPJA,CJ32 pull2,Ugx0xjyvCO8ZHClnvjB4AaABAg,0,1614310272.0,It was just ok,none,,2021-03-08 16:29:34.443323,0
1,2SglFUPQVnM,http://www.youtube.com/channel/UCuJh75aJb5QL38Ls303oddA,UCuJh75aJb5QL38Ls303oddA,Joseph Falco,UgzHKFgwQ4LmWAyHLXd4AaABAg,0,1614009092.0,The town of Dunkirk was not shown as destroyed from the bombing and there weren't enough extras.,none,,2021-03-08 16:29:34.443360,0
2,2SglFUPQVnM,http://www.youtube.com/channel/UCEGeWcM1yzJ9X2awvUgOxZA,UCEGeWcM1yzJ9X2awvUgOxZA,moviefan10,UgzQk7yTVDBEEdJED6N4AaABAg,0,1613335421.0,nolan's worst film.,none,,2021-03-08 16:29:34.443387,0
3,2SglFUPQVnM,http://www.youtube.com/channel/UCasmpCTziKXVlMVxPDIF4RA,UCasmpCTziKXVlMVxPDIF4RA,OnThisSideoftheSky,UgxnWYv9JsK3Z3oJlnR4AaABAg,0,1612886853.0,"Pretty sure you never see a German in uniform in the whole movie. The threat is totally veiled, almost like a force. Awesome film",none,,2021-03-08 16:29:34.443412,0
4,2SglFUPQVnM,http://www.youtube.com/channel/UC3D0maVEajAN9TUSmyut26g,UC3D0maVEajAN9TUSmyut26g,Bob Singh,UgxlVoeVPM6tPLkLfgB4AaABAg,0,1612463730.0,I definitely felt a coldness about Dunkirk. A detachment.,none,,2021-03-08 16:29:34.443436,0
5,2SglFUPQVnM,http://www.youtube.com/channel/UCg7s3Zd42MzpfP7GB2EmWZw,UCg7s3Zd42MzpfP7GB2EmWZw,Donald Sexton,UgzBrrOKl-CLVDhGJHt4AaABAg,1,1612334747.0,Based on this boring ass movie it took only 4 or 5 Germans (that is all I saw) to push the British and French all the way to the sea.,none,,2021-03-08 16:29:34.443459,0
6,2SglFUPQVnM,http://www.youtube.com/channel/UCZqQxGdbYDgwqYcHGLwCMxA,UCZqQxGdbYDgwqYcHGLwCMxA,William Huang,Ugzp0wzUxAKrfcCyttt4AaABAg,0,1611952714.0,Review that saving private Ryan movie lol,none,,2021-03-08 16:29:34.443481,0
7,2SglFUPQVnM,http://www.youtube.com/channel/UCNcrXccs8SBKLwxVuLZ0iIA,UCNcrXccs8SBKLwxVuLZ0iIA,O5car Magu1re,UgyFVOPTlwNcAc5o2HN4AaABAg,0,1611812175.0,"I totally agree that this is a very well made movie but I just lost interest eventually due to no character development

Edit: I would give it a C",none,,2021-03-08 16:29:34.443503,0
8,2SglFUPQVnM,http://www.youtube.com/channel/UCdwB9vKJgiafCyq4CCfLjKg,UCdwB9vKJgiafCyq4CCfLjKg,J En,UgzQlniBkx2AMQKhqU14AaABAg,0,1611674002.0,"Just watched this , beautifully shot minimal dialogue but it works. Great movie",none,,2021-03-08 16:29:34.443525,0
9,2SglFUPQVnM,http://www.youtube.com/channel/UCGDhkWPDd1L157268-SrExw,UCGDhkWPDd1L157268-SrExw,Holktube,Ugxs9UXnuz2PDqDPCkJ4AaABAg,0,1611646086.0,Fun story: I watched this movie on a 14 hour flight to Tokyo.,none,,2021-03-08 16:29:34.443566,0
10,2SglFUPQVnM,http://www.youtube.com/channel/UCeBJspDcgpS54GdLNty9Ouw,UCeBJspDcgpS54GdLNty9Ouw,Fabian Stanislaus,Ugx2hVCjJrVrWt3Modx4AaABAg,0,1611091847.0,This movie is so overrated I can't believe it... I watched it with my father recently and we paused the movie all the time to discuss stupid things happening in it. The soundtrack is mostly annoying too. There are a few great scenes or at least great looking scenes but that's it for me. The characters are two dimensional and I really don't care about any of them at all. In the end this masterpiece wasted our time but we had at least fun discussing our disapointment. cheers,none,,2021-03-08 16:29:34.443589,0
11,2SglFUPQVnM,http://www.youtube.com/channel/UCVnk_32BxkJ19ax4gfgl2Nw,UCVnk_32BxkJ19ax4gfgl2Nw,Kristoffer Lilja,Ugw5VmjKlzJ8xTpu7BF4AaABAg,0,1610536726.0,"I am an amateur WW2 historian, Ive read and studies WW2 military and political history since I was in my early teens. Dunkrik is one of the worst ww2 movies Ive ever seen. It is TERRIBLY badly made, there is zero character development, they jump from scene to scene constantly so its impossible to follow who does what. The setting is terrible, theres WAY too few people, you see modern buildings, cranes and dockyards in the background and I can continue to go on and on. Its like a bad fanbased youtube shortfilm more than a cinematic experience. Its so bad I was actualy pissed off when I had watched it and I feel like people are just brainwashed into wanting to believe its good because every filmcritique says it is. But they always do, they always say the shit movies are good and vice versa.
Its a bad bad movie, its not an oppinion its a fact. Its badly made, its uninteresting, its illogical and full of errors.",none,,2021-03-08 16:29:34.443611,0
12,2SglFUPQVnM,http://www.youtube.com/channel/UCJYaC0yNPl9Ezb3XUD1f8gQ,UCJYaC0yNPl9Ezb3XUD1f8gQ,Masuda Parvez,UgyRwyXtqjhzbItfVYl4AaABAg,4,1610298793.0,This movie is Nolan's Apex. Love it!,none,,2021-03-08 16:29:34.443634,0
13,2SglFUPQVnM,http://www.youtube.com/channel/UCdH-8ZNXp9nWcJ2VmwRCiew,UCdH-8ZNXp9nWcJ2VmwRCiew,legend01,UgyarblToh1TQAFEB6d4AaABAg,0,1610139384.0,I had so much respecc for that pilot thata fuel ran out and gibson and when collins came down i knew hed get picked up,none,,2021-03-08 16:29:34.443657,0
14,2SglFUPQVnM,http://www.youtube.com/channel/UC3sn46Xm3bDIKIyuwQEpHDA,UC3sn46Xm3bDIKIyuwQEpHDA,Jordan Sweet,UgzqUPSdcFPIf4VwFIV4AaABAg,0,1608878067.0,"I got bored during this. I know, Nolan can do no wrong and all, but ""in the moment"" is fine but characters I don't care about are still characters I don't care about. I love the cast but I barely gave a crap what happened. It looks great, the action is good and I appreciated the short runtime but I got bored. Sorry.",none,,2021-03-08 16:29:34.443680,0
